dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant
places365,accuracy_epoch_1,nn_has_attention,1699,0.065086,3e-06,-0.041466,0.087514,0.041466,4.3043478260869565e-06,True,0.11107546153846153,False
places365,accuracy_epoch_1,nn_flops,1699,0.063159,0.002803,0.049588,0.040981,0.049588,0.003721224137931034,True,0.05409491999999999,False
places365,accuracy_epoch_1,nn_has_residual,1699,0.061392,0.000611,0.059534,0.014117,0.059534,0.0008401249999999999,True,0.01964474096385542,True
places365,accuracy_epoch_1,nn_total_params,1699,0.057998,0.008063,-0.012778,0.598652,0.012778,0.010619437499999999,True,0.6462084672897196,False
places365,accuracy_epoch_1,prm__momentum,1705,0.056084,0.020181,0.056378,0.019909,0.056378,0.02589895,True,0.02721289349112426,True
places365,accuracy_epoch_1,prm__dropout,1291,0.05452,0.167689,-0.045234,0.104265,0.045234,0.20070548704663213,False,0.13089790760869563,False
places365,accuracy_epoch_1,nn_dropout_count,1699,0.046326,0.125628,-0.006827,0.778572,0.006827,0.15436206382978723,False,0.8138015022624434,False
places365,accuracy_epoch_5,prm__lr,1092,0.251902,0.0,0.447334,0.0,0.447334,0.0,True,0.0,True
places365,accuracy_epoch_5,nn_total_params,1089,0.195224,0.0,0.198469,0.0,0.198469,0.0,True,0.0,True
places365,accuracy_epoch_5,nn_dropout_count,1089,0.189879,0.0,0.218122,0.0,0.218122,0.0,True,0.0,True
places365,accuracy_epoch_5,nn_max_depth,1089,0.128469,0.0,-0.048203,0.111881,0.048203,0.0,True,0.1389489838709677,False
places365,accuracy_epoch_5,nn_has_attention,1089,0.122083,0.0,-0.118855,8.4e-05,0.118855,0.0,True,0.00014163503649635036,True
places365,accuracy_epoch_5,prm__batch,1092,0.098969,0.0,0.084744,0.005075,0.084744,0.0,True,0.007467038216560509,True
places365,accuracy_epoch_5,nn_flops,1089,0.088074,6.8e-05,0.142878,2e-06,0.142878,9.52e-05,True,3.637795275590551e-06,True
places365,accuracy_epoch_5,nn_total_layers,1089,0.072834,0.008091,0.020757,0.493803,0.020757,0.010619437499999999,True,0.5355328309859155,False
places365,accuracy_epoch_5,prm__dropout,803,0.050855,0.644817,-0.011214,0.751017,0.011214,0.6620121199999999,False,0.78856785,False
places365,accuracy_epoch_5,prm__momentum,1092,0.047139,0.529734,0.038862,0.199416,0.038862,0.5613236422018348,False,0.23383297461928937,False
places365,accuracy_epoch_5,nn_has_residual,1089,0.041775,0.427138,0.042452,0.161528,0.042452,0.4676250142180095,False,0.19433837499999998,False
places365,accuracy_epoch_50,nn_has_residual,87,0.329452,0.0,0.326433,0.002031,0.326433,0.0,True,0.003026845161290322,True
places365,accuracy_epoch_50,nn_total_layers,87,0.315263,3e-06,0.352367,0.000816,0.352367,4.3043478260869565e-06,True,0.0012736216216216215,True
places365,accuracy_epoch_50,nn_max_depth,87,0.299296,4.6e-05,0.267365,0.012297,0.267365,6.479268292682926e-05,True,0.017215800000000003,True
places365,accuracy_epoch_50,nn_dropout_count,87,0.245324,0.014906,0.224134,0.03689,0.224134,0.019344303370786516,True,0.04897465517241379,True
places365,accuracy_epoch_50,nn_flops,87,0.211724,0.274797,0.278503,0.009001,0.278503,0.3189854623115578,False,0.01299519375,True
places365,accuracy_epoch_50,prm__momentum,88,0.205743,0.222738,-0.040911,0.705097,0.040911,0.2625126428571429,False,0.7471440688073395,False
places365,accuracy_epoch_50,nn_total_params,87,0.188866,0.443705,0.158563,0.142409,0.158563,0.4812011971830986,False,0.17313936315789474,False
places365,accuracy_epoch_50,nn_has_attention,87,0.186129,0.210229,-0.163047,0.131318,0.163047,0.25032422164948454,False,0.1621988617021277,False
places365,accuracy_epoch_50,prm__dropout,35,0.183341,0.77116,0.006723,0.969426,0.006723,0.7778950218340611,False,0.9736408956521739,False
places365,accuracy_epoch_50,prm__lr,88,0.178781,0.395132,0.376721,0.000297,0.376721,0.4409444057971014,False,0.00047976923076923077,True
places365,accuracy_epoch_50,prm__batch,88,0.153635,0.652371,0.216277,0.042984,0.216277,0.6668039867256637,False,0.0564165,False
svhn,accuracy_epoch_1,prm__batch,23222,0.210176,0.0,-0.253384,0.0,0.253384,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_max_depth,23098,0.140995,0.0,0.070054,0.0,0.070054,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_dropout_count,23098,0.129485,0.0,-0.045039,0.0,0.045039,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_total_layers,23098,0.125197,0.0,0.079705,0.0,0.079705,0.0,True,0.0,True
svhn,accuracy_epoch_1,prm__lr,23222,0.106804,0.0,0.227004,0.0,0.227004,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_total_params,23098,0.099093,0.0,-0.012891,0.05009,0.012891,0.0,True,0.06500443820224719,False
svhn,accuracy_epoch_1,nn_flops,23098,0.096998,0.0,0.051334,0.0,0.051334,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_has_residual,23098,0.03079,0.0,0.00333,0.612828,0.00333,0.0,True,0.6579564444444445,False
svhn,accuracy_epoch_1,prm__dropout,18954,0.018912,0.000377,-0.023586,0.001165,0.023586,0.0005214790419161676,True,0.0017822185430463576,True
