dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant
cifar-100,accuracy_epoch_50,nn_has_attention,387,0.15874,0.0,-0.164638,0.001152,0.164638,0.0,True,0.0017740800000000001,True
mnist,accuracy_epoch_50,nn_has_attention,448,0.158448,0.0,-0.214361,5e-06,0.214361,0.0,True,8.884615384615385e-06,True
imagenette,accuracy_epoch_5,prm__lr,13879,0.158207,0.0,0.220894,0.0,0.220894,0.0,True,0.0,True
mnist,accuracy_epoch_50,nn_max_depth,448,0.15671,0.0,0.064545,0.172644,0.064545,0.0,True,0.20557094845360824,False
imagenette,accuracy_epoch_50,nn_total_params,620,0.154683,0.0,0.173266,1.4e-05,0.173266,0.0,True,2.45e-05,True
cifar-10,accuracy_epoch_5,nn_dropout_count,25116,0.151563,0.0,0.140719,0.0,0.140719,0.0,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_max_depth,9640,0.150582,0.0,0.119757,0.0,0.119757,0.0,True,0.0,True
cifar-100,accuracy_epoch_50,nn_dropout_count,387,0.148679,7e-06,0.296564,0.0,0.296564,9.981481481481482e-06,True,0.0,True
svhn,accuracy_epoch_50,prm__lr,643,0.146195,0.0,0.340481,0.0,0.340481,0.0,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_dropout_count,14265,0.145167,0.0,-0.206064,0.0,0.206064,0.0,True,0.0,True
svhn,accuracy_epoch_5,prm__lr,17729,0.144947,0.0,0.294885,0.0,0.294885,0.0,True,0.0,True
cifar-100,accuracy_epoch_1,nn_total_layers,20879,0.144912,0.0,0.08823,0.0,0.08823,0.0,True,0.0,True
imagenette,accuracy_epoch_5,nn_total_layers,13783,0.143732,0.0,0.067099,0.0,0.067099,0.0,True,0.0,True
svhn,accuracy_epoch_5,nn_total_layers,17631,0.141777,0.0,0.118878,0.0,0.118878,0.0,True,0.0,True
cifar-10,accuracy_epoch_5,prm__momentum,25260,0.141703,0.0,0.138207,0.0,0.138207,0.0,True,0.0,True
cifar-10,accuracy_epoch_5,prm__lr,25260,0.141619,0.0,0.318795,0.0,0.318795,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_max_depth,23098,0.140995,0.0,0.070054,0.0,0.070054,0.0,True,0.0,True
imagenette,accuracy_epoch_1,nn_dropout_count,17978,0.140397,0.0,-0.115956,0.0,0.115956,0.0,True,0.0,True
svhn,accuracy_epoch_50,prm__batch,643,0.130573,0.0,-0.169506,1.6e-05,0.169506,0.0,True,2.7789473684210523e-05,True
cifar-10,accuracy_epoch_50,nn_has_attention,2039,0.13056,0.0,-0.118952,0.0,0.118952,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_dropout_count,23098,0.129485,0.0,-0.045039,0.0,0.045039,0.0,True,0.0,True
places365,accuracy_epoch_5,nn_max_depth,1089,0.128469,0.0,-0.048203,0.111881,0.048203,0.0,True,0.1389489838709677,False
svhn,accuracy_epoch_5,nn_max_depth,17631,0.12818,0.0,0.141219,0.0,0.141219,0.0,True,0.0,True
imagenette,accuracy_epoch_1,nn_total_params,17978,0.126607,0.0,-0.091402,0.0,0.091402,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_has_residual,16467,0.125562,0.0,-0.094189,0.0,0.094189,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_total_layers,23098,0.125197,0.0,0.079705,0.0,0.079705,0.0,True,0.0,True
celeba-gender,accuracy_epoch_50,nn_max_depth,405,0.125096,0.000733,0.111408,0.024955,0.111408,0.0010019112426035504,True,0.033909441176470594,True
celeba-gender,accuracy_epoch_1,nn_total_params,14265,0.124331,0.0,-0.166284,0.0,0.166284,0.0,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_total_layers,9640,0.122493,0.0,0.088794,0.0,0.088794,0.0,True,0.0,True
places365,accuracy_epoch_5,nn_has_attention,1089,0.122083,0.0,-0.118855,8.4e-05,0.118855,0.0,True,0.00014163503649635036,True
imagenette,accuracy_epoch_50,nn_max_depth,620,0.120934,1e-06,0.086631,0.031021,0.086631,1.4528301886792452e-06,True,0.041661924418604654,True
celeba-gender,accuracy_epoch_1,nn_total_layers,14265,0.120911,0.0,0.071926,0.0,0.071926,0.0,True,0.0,True
cifar-10,accuracy_epoch_5,nn_flops,25116,0.120396,0.0,0.237195,0.0,0.237195,0.0,True,0.0,True
celeba-gender,accuracy_epoch_50,prm__lr,413,0.120312,0.002702,0.398185,0.0,0.398185,0.0036078728323699423,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_dropout_count,9640,0.115238,0.0,-0.116017,0.0,0.116017,0.0,True,0.0,True
mnist,accuracy_epoch_50,nn_dropout_count,448,0.108239,0.013638,0.13155,0.005291,0.13155,0.017798745762711867,True,0.007735575949367089,True
svhn,accuracy_epoch_1,prm__lr,23222,0.106804,0.0,0.227004,0.0,0.227004,0.0,True,0.0,True
cifar-10,accuracy_epoch_50,prm__dropout,600,0.106615,0.001482,0.105181,0.009932,0.105181,0.002002,True,0.014180833333333333,True
cifar-100,accuracy_epoch_1,prm__lr,20991,0.103562,0.0,0.177219,0.0,0.177219,0.0,True,0.0,True
svhn,accuracy_epoch_5,nn_flops,17631,0.102942,0.0,0.061537,0.0,0.061537,0.0,True,0.0,True
cifar-100,accuracy_epoch_5,nn_total_layers,15252,0.100949,0.0,0.145397,0.0,0.145397,0.0,True,0.0,True
svhn,accuracy_epoch_5,nn_dropout_count,17631,0.100013,0.0,-0.126489,0.0,0.126489,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_total_params,23098,0.099093,0.0,-0.012891,0.05009,0.012891,0.0,True,0.06500443820224719,False
places365,accuracy_epoch_5,prm__batch,1092,0.098969,0.0,0.084744,0.005075,0.084744,0.0,True,0.007467038216560509,True
cifar-100,accuracy_epoch_1,nn_flops,20879,0.098193,0.0,0.06585,0.0,0.06585,0.0,True,0.0,True
svhn,accuracy_epoch_1,nn_flops,23098,0.096998,0.0,0.051334,0.0,0.051334,0.0,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_total_params,9640,0.093986,0.0,-0.096565,0.0,0.096565,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_flops,16467,0.092088,0.0,0.193725,0.0,0.193725,0.0,True,0.0,True
cifar-100,accuracy_epoch_5,nn_flops,15252,0.08996,0.0,0.161421,0.0,0.161421,0.0,True,0.0,True
places365,accuracy_epoch_5,nn_flops,1089,0.088074,6.8e-05,0.142878,2e-06,0.142878,9.52e-05,True,3.637795275590551e-06,True
