dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,delta_exploratory,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant
imagenette,accuracy_epoch_1,nn_total_layers,224,0.15273,0.00702,-0.050009,0.456428,0.050009,0.102721,0.011963661971830988,True,0.5495302288557213,False
mnist,best_accuracy,nn_total_layers,132,0.230705,0.029046,0.133124,0.128082,0.133124,0.097581,0.04781722448979592,True,0.1878536,False
cifar-100,best_accuracy,nn_max_depth,118,0.224868,0.03093,-0.128134,0.16673,0.128134,0.096734,0.05023530201342282,False,0.23734505882352938,False
celeba-gender,accuracy_epoch_50,nn_dropout_count,46,0.218325,0.456816,-0.122259,0.418271,0.122259,0.096066,0.5669203692307692,False,0.5217607319587628,False
imagenette,best_accuracy,nn_total_params,91,0.11647,0.865936,0.021588,0.839043,0.021588,0.094881,0.8702701576763486,False,0.8866742620087337,False
svhn,accuracy_epoch_5,nn_total_layers,127,0.142203,0.233438,-0.047929,0.592577,0.047929,0.094273,0.32281140571428574,False,0.6894405480769231,False
celeba-gender,best_accuracy,nn_total_params,2338,0.183793,0.0,0.090988,1.1e-05,0.090988,0.092804,0.0,True,3.059770114942529e-05,True
cifar-10,accuracy_epoch_5,prm__weight_decay,208,0.249906,0.0,0.15815,0.022518,0.15815,0.091755,0.0,True,0.039203999999999996,True
cifar-100,best_accuracy,prm__batch,3620,0.343867,0.0,-0.254036,0.0,0.254036,0.089831,0.0,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_total_params,3171,0.140897,0.0,0.0517,0.00359,0.0517,0.089197,0.0,True,0.007425470085470086,True
imagenette,best_accuracy,nn_max_depth,91,0.106841,0.815397,-0.01881,0.859527,0.01881,0.08803,0.8361274322033898,False,0.9032816896551724,False
imagenette,accuracy_epoch_1,nn_max_depth,224,0.098393,0.661662,0.011341,0.865956,0.011341,0.087052,0.7212711891891891,False,0.9032816896551724,False
cifar-10,best_accuracy,nn_has_residual,9881,0.583692,0.0,0.496658,0.0,0.496658,0.087035,0.0,True,0.0,True
cifar-10,best_accuracy,nn_total_params,9881,0.180332,0.0,0.094551,0.0,0.094551,0.085781,0.0,True,0.0,True
places365,best_accuracy,prm__batch,337,0.1557,9.1e-05,0.072183,0.186201,0.072183,0.083517,0.00016312592592592593,True,0.26198047674418606,False
cifar-100,accuracy_epoch_5,nn_total_layers,152,0.181356,0.210824,-0.102741,0.207831,0.102741,0.078616,0.30011416470588237,False,0.2890523103448276,False
mnist,accuracy_epoch_5,prm__batch,16547,0.194121,0.0,-0.115835,0.0,0.115835,0.078286,0.0,True,0.0,True
imagenette,accuracy_epoch_5,nn_max_depth,127,0.258664,1.9e-05,-0.185563,0.036735,0.185563,0.0731,3.536923076923077e-05,True,0.06260471830985914,False
celeba-gender,accuracy_epoch_5,nn_total_params,1371,0.161443,0.0,0.089116,0.000956,0.089116,0.072327,0.0,True,0.002246135922330097,True
mnist,accuracy_epoch_1,nn_total_params,286,0.257836,0.0,0.188486,0.001363,0.188486,0.06935,0.0,True,0.0031117547169811324,True
cifar-100,accuracy_epoch_5,nn_total_params,152,0.335552,0.0,0.266254,0.000915,0.266254,0.069299,0.0,True,0.0021708823529411766,True
places365,best_accuracy,prm__lr,337,0.160914,5.4e-05,0.092599,0.089653,0.092599,0.068314,9.825563909774436e-05,True,0.13822053503184714,False
cifar-10,best_accuracy,nn_max_depth,9881,0.639092,0.0,0.571394,0.0,0.571394,0.067698,0.0,True,0.0,True
cifar-10,accuracy_epoch_5,prm__batch,25276,0.275213,0.0,-0.210903,0.0,0.210903,0.06431,0.0,True,0.0,True
svhn,best_accuracy,nn_flops,250,0.198505,0.0,-0.134409,0.033654,0.134409,0.064096,0.0,True,0.05776076595744681,False
imagenette,accuracy_epoch_5,nn_total_params,127,0.29777,0.0,0.23382,0.008151,0.23382,0.06395,0.0,True,0.01579776,True
imagenette,accuracy_epoch_5,nn_dropout_count,127,0.38696,0.0,0.323515,0.000207,0.323515,0.063446,0.0,True,0.0005218125,True
imagenette,accuracy_epoch_50,prm__dropout,368,0.063374,0.789288,0.002146,0.967269,0.002146,0.061228,0.8268731428571429,False,0.9815945271966527,False
