precision,task_dir,model_name,device,soc,os_version,valid,iterations,in0,in1,in2,in3,cpu_dur,cpu_min,cpu_max,cpu_std,gpu_dur,gpu_min,gpu_max,gpu_std,npu_dur,npu_min,npu_max,npu_std
fp32,img-classification_cifar-10_acc_unq-62c4c2db449411c0d0ba1e3689f6bef2,unq-62c4c2db449411c0d0ba1e3689f6bef2,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,29,29,3,22103900.0,15712000.0,34442000.0,3550000.0,5990180.0,5777000.0,6945000.0,136000.0,5964140.0,5808000.0,6332000.0,83000.0
fp32,img-classification_cifar-10_acc_unq-62c4c2db449411c0d0ba1e3689f6bef2,unq-62c4c2db449411c0d0ba1e3689f6bef2,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,29,29,3,13679000.0,10306000.0,24376000.0,3028000.0,2710060.0,2645000.0,2805000.0,36000.0,2701590.0,2642000.0,2991000.0,41000.0
fp32,img-classification_cifar-10_acc_AirNext,AirNext,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,256,256,3,384138000.0,341300000.0,426977000.0,42838000.0,46383800.0,45893000.0,48357000.0,643000.0,46804200.0,46229000.0,48534000.0,658000.0
fp32,img-classification_cifar-10_acc_AirNext,AirNext,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,256,256,3,422720000.0,342023000.0,460532000.0,26193000.0,127982000.0,116207000.0,159341000.0,18150000.0,273382000.0,268116000.0,278649000.0,5266000.0
fp32,img-classification_cifar-10_acc_AirNext,AirNext,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,256,256,3,221259000.0,185175000.0,248405000.0,26575000.0,22559200.0,21974000.0,32285000.0,2074000.0,22357300.0,22012000.0,28335000.0,1276000.0
fp32,img-classification_cifar-10_acc_AirNext,AirNext,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,256,256,3,322706000.0,289809000.0,355603000.0,32897000.0,90002300.0,88774000.0,95167000.0,2319000.0,89961700.0,88595000.0,95513000.0,2491000.0
fp32,img-classification_cifar-10_acc_AirNext,AirNext,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,256,256,3,298422000.0,285885000.0,310959000.0,12537000.0,46389800.0,45997000.0,48284000.0,607000.0,46409800.0,45878000.0,48461000.0,682000.0
fp32,img-classification_cifar-10_acc_unq-109eb4080ce66a02d780a80f0c3a9a99,unq-109eb4080ce66a02d780a80f0c3a9a99,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,64,64,3,131724000.0,97169000.0,201303000.0,42308000.0,14904200.0,14805000.0,15004000.0,47000.0,14793800.0,14677000.0,15156000.0,84000.0
fp32,img-classification_cifar-10_acc_unq-109eb4080ce66a02d780a80f0c3a9a99,unq-109eb4080ce66a02d780a80f0c3a9a99,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,64,64,3,156569000.0,134202000.0,217860000.0,35408000.0,76457900.0,75904000.0,77493000.0,535000.0,77169100.0,72164000.0,81731000.0,2805000.0
fp32,img-classification_cifar-10_acc_unq-109eb4080ce66a02d780a80f0c3a9a99,unq-109eb4080ce66a02d780a80f0c3a9a99,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,64,64,3,58229400.0,50716000.0,95821000.0,13610000.0,9413040.0,9262000.0,12977000.0,491000.0,9448570.0,9255000.0,14200000.0,660000.0
fp32,img-classification_cifar-10_acc_unq-109eb4080ce66a02d780a80f0c3a9a99,unq-109eb4080ce66a02d780a80f0c3a9a99,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,64,64,3,103104000.0,87644000.0,118266000.0,9941000.0,34297500.0,34158000.0,34748000.0,140000.0,34316000.0,34136000.0,34564000.0,91000.0
fp32,img-classification_cifar-10_acc_unq-109eb4080ce66a02d780a80f0c3a9a99,unq-109eb4080ce66a02d780a80f0c3a9a99,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,64,64,3,116198000.0,91614000.0,202470000.0,43229000.0,14986600.0,14801000.0,15524000.0,148000.0,14886100.0,14783000.0,14993000.0,43000.0
fp32,img-classification_cifar-10_acc_unq-ed9addff13fd74726eeec33bc160856a,unq-ed9addff13fd74726eeec33bc160856a,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,31,31,3,124405000.0,79518000.0,169823000.0,18988000.0,9659900.0,9482000.0,9851000.0,87000.0,9655080.0,9534000.0,10031000.0,97000.0
fp32,img-classification_cifar-10_acc_unq-ed9addff13fd74726eeec33bc160856a,unq-ed9addff13fd74726eeec33bc160856a,STK-L21,,10 | HUAWEISTK-L21,False,20,1,31,31,3,,,,,,,,,,,,
fp32,img-classification_cifar-10_acc_unq-ed9addff13fd74726eeec33bc160856a,unq-ed9addff13fd74726eeec33bc160856a,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,31,31,3,126854000.0,84330000.0,239042000.0,64849000.0,5521180.0,5450000.0,5935000.0,54000.0,5556270.0,5476000.0,6012000.0,62000.0
fp32,img-classification_cifar-10_acc_unq-ed9addff13fd74726eeec33bc160856a,unq-ed9addff13fd74726eeec33bc160856a,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,31,31,3,117445000.0,105574000.0,153477000.0,10819000.0,21910300.0,21010000.0,22542000.0,458000.0,22427200.0,21169000.0,22966000.0,389000.0
fp32,img-classification_cifar-10_acc_unq-ed9addff13fd74726eeec33bc160856a,unq-ed9addff13fd74726eeec33bc160856a,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,31,31,3,132349000.0,88921000.0,168343000.0,22698000.0,9693980.0,9576000.0,9793000.0,44000.0,9768230.0,9662000.0,10212000.0,92000.0
fp32,img-classification_cifar-10_acc_unq-617bbe26f3202223cbaa66ac640c600c,unq-617bbe26f3202223cbaa66ac640c600c,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,32,32,3,78841700.0,55807000.0,118358000.0,20852000.0,7991970.0,7897000.0,8388000.0,69000.0,7996980.0,7841000.0,9275000.0,185000.0
fp32,img-classification_cifar-10_acc_unq-617bbe26f3202223cbaa66ac640c600c,unq-617bbe26f3202223cbaa66ac640c600c,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,32,32,3,216394000.0,205610000.0,235143000.0,13307000.0,39528500.0,39014000.0,40829000.0,516000.0,19160900.0,17757000.0,28618000.0,2547000.0
fp32,img-classification_cifar-10_acc_unq-617bbe26f3202223cbaa66ac640c600c,unq-617bbe26f3202223cbaa66ac640c600c,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,32,32,3,53469100.0,34152000.0,79341000.0,11638000.0,4018510.0,3938000.0,5208000.0,145000.0,3997790.0,3932000.0,4577000.0,63000.0
fp32,img-classification_cifar-10_acc_unq-617bbe26f3202223cbaa66ac640c600c,unq-617bbe26f3202223cbaa66ac640c600c,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,32,32,3,57500800.0,35054000.0,110652000.0,23579000.0,15546800.0,15198000.0,17174000.0,337000.0,15346500.0,15185000.0,15768000.0,121000.0
fp32,img-classification_cifar-10_acc_unq-617bbe26f3202223cbaa66ac640c600c,unq-617bbe26f3202223cbaa66ac640c600c,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,32,32,3,64993800.0,20471000.0,136712000.0,40880000.0,8196610.0,8109000.0,8395000.0,51000.0,8324160.0,8168000.0,8452000.0,51000.0
fp32,img-classification_cifar-10_acc_unq-d9e418e405abf45ae9dffb6423cc7318,unq-d9e418e405abf45ae9dffb6423cc7318,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,64,64,3,903614000.0,817995000.0,957221000.0,37274000.0,110002000.0,109149000.0,111789000.0,935000.0,109952000.0,109346000.0,111244000.0,677000.0
