dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
cifar-10,accuracy_epoch_50,prm__batch,2106,0.143147,0.004975,-0.19292,0.0,0.19292,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,nn_max_depth,2039,0.142314,0.004975,0.185578,0.0,0.185578,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_5,nn_total_layers,17631,0.142128,0.004975,0.118878,0.0,0.118878,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_5,nn_max_depth,1089,0.141501,0.024876,-0.048203,0.111881,0.048203,0.038826729729729725,True,0.1389489838709677,False
cifar-10,accuracy_epoch_50,prm__lr,2106,0.140575,0.004975,0.125154,0.0,0.125154,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_flops,14265,0.140114,0.004975,0.03645,1.3e-05,0.03645,0.008512777777777779,True,2.2923664122137405e-05,True
cifar-100,accuracy_epoch_5,nn_total_params,15252,0.136729,0.004975,0.230535,0.0,0.230535,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,nn_total_layers,25116,0.134959,0.004975,0.269196,0.0,0.269196,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,nn_dropout_count,2039,0.133905,0.004975,0.019414,0.380922,0.019414,0.008512777777777779,True,0.4250868695652174,False
places365,accuracy_epoch_1,prm__batch,1705,0.13369,0.004975,-0.224938,0.0,0.224938,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_1,nn_flops,23098,0.133145,0.004975,0.051334,0.0,0.051334,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,nn_flops,13783,0.128729,0.004975,0.116942,0.0,0.116942,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_total_params,9640,0.127606,0.004975,-0.096565,0.0,0.096565,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,prm__momentum,2106,0.125776,0.004975,0.068089,0.001769,0.068089,0.008512777777777779,True,0.0026535,True
mnist,accuracy_epoch_1,nn_total_params,21301,0.124699,0.004975,0.193557,0.0,0.193557,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_1,prm__momentum,1705,0.122765,0.024876,0.056378,0.019909,0.056378,0.038826729729729725,True,0.02721289349112426,True
celeba-gender,accuracy_epoch_5,nn_max_depth,9640,0.121098,0.004975,0.119757,0.0,0.119757,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,nn_flops,15252,0.119648,0.004975,0.161421,0.0,0.161421,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,prm__batch,14388,0.118468,0.004975,-0.330588,0.0,0.330588,0.008512777777777779,True,0.0,True
