dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
cifar-100,accuracy_epoch_1,nn_total_layers,20879,0.07564,0.004975,0.08823,0.0,0.08823,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,nn_dropout_count,20879,0.072422,0.004975,-0.203888,0.0,0.203888,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,nn_flops,20879,0.067419,0.004975,0.06585,0.0,0.06585,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,prm__dropout,15516,0.051624,0.452736,-0.051104,0.0,0.051104,0.5653081945945947,False,0.0,True
cifar-100,accuracy_epoch_1,prm__momentum,20991,0.047924,1.0,0.016267,0.018431,0.016267,1.0,False,0.025342625,True
cifar-100,accuracy_epoch_1,nn_has_residual,20879,0.028557,1.0,0.02519,0.000272,0.02519,1.0,False,0.0004424788732394366,True
cifar-100,accuracy_epoch_1,nn_has_attention,20879,0.013109,1.0,0.001308,0.850068,0.001308,1.0,False,0.8805637130044843,False
cifar-100,accuracy_epoch_5,prm__lr,15347,0.209147,0.004975,0.336448,0.0,0.336448,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,nn_total_params,15252,0.136729,0.004975,0.230535,0.0,0.230535,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,nn_flops,15252,0.119648,0.004975,0.161421,0.0,0.161421,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,nn_dropout_count,15252,0.096802,0.004975,0.180557,0.0,0.180557,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,nn_total_layers,15252,0.084758,0.004975,0.145397,0.0,0.145397,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,nn_max_depth,15252,0.067968,0.004975,-0.078821,0.0,0.078821,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,prm__batch,15347,0.063098,0.004975,-0.190444,0.0,0.190444,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,prm__dropout,11164,0.061678,0.049751,-0.032057,0.000705,0.032057,0.07511425490196079,False,0.0011078571428571429,True
cifar-100,accuracy_epoch_5,prm__momentum,15347,0.054799,0.029851,0.03153,9.4e-05,0.03153,0.045666099337748345,True,0.00015621582733812948,True
cifar-100,accuracy_epoch_5,nn_has_residual,15252,0.040849,1.0,-0.051959,0.0,0.051959,1.0,False,0.0,True
cifar-100,accuracy_epoch_5,nn_has_attention,15252,0.019758,1.0,-0.047618,0.0,0.047618,1.0,False,0.0,True
cifar-100,accuracy_epoch_50,nn_total_params,387,0.345669,0.004975,0.386149,0.0,0.386149,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_50,nn_total_layers,387,0.330702,0.004975,0.40052,0.0,0.40052,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_50,nn_flops,387,0.312935,0.004975,0.356063,0.0,0.356063,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_50,prm__dropout,198,0.278733,0.00995,0.084298,0.237695,0.084298,0.016301063829787237,True,0.274537725,False
cifar-100,accuracy_epoch_50,prm__lr,395,0.27114,0.004975,0.37764,0.0,0.37764,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_50,nn_dropout_count,387,0.258534,0.004975,0.296564,0.0,0.296564,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_50,nn_max_depth,387,0.224677,0.00995,0.234146,3e-06,0.234146,0.016301063829787237,True,5.4140625e-06,True
cifar-100,accuracy_epoch_50,nn_has_residual,387,0.222309,0.004975,0.250882,1e-06,0.250882,0.008512777777777779,True,1.8780487804878048e-06,True
cifar-100,accuracy_epoch_50,prm__momentum,395,0.178584,0.517413,0.072202,0.152055,0.072202,0.6357574627659575,False,0.18389897905759162,False
cifar-100,accuracy_epoch_50,prm__batch,395,0.177422,0.268657,-0.025366,0.615232,0.025366,0.35462723999999995,False,0.6579564444444445,False
cifar-100,accuracy_epoch_50,nn_has_attention,387,0.173454,0.029851,-0.164638,0.001152,0.164638,0.045666099337748345,True,0.0017740800000000001,True
imagenette,accuracy_epoch_1,prm__lr,18088,0.098217,0.004975,0.013925,0.061105,0.013925,0.008512777777777779,True,0.07841808333333333,False
imagenette,accuracy_epoch_1,nn_total_layers,17978,0.075883,0.004975,0.029118,9.4e-05,0.029118,0.008512777777777779,True,0.00015621582733812948,True
imagenette,accuracy_epoch_1,nn_max_depth,17978,0.067603,0.004975,0.12534,0.0,0.12534,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_1,nn_total_params,17978,0.066254,0.004975,-0.091402,0.0,0.091402,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_1,nn_dropout_count,17978,0.062983,0.004975,-0.115956,0.0,0.115956,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_1,prm__batch,18088,0.062326,0.004975,-0.234953,0.0,0.234953,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_1,nn_flops,17978,0.061912,0.004975,0.031712,2.1e-05,0.031712,0.008512777777777779,True,3.6201492537313426e-05,True
imagenette,accuracy_epoch_1,prm__dropout,13540,0.056701,0.064677,0.000497,0.953849,0.000497,0.0963895935483871,False,0.9706569118942731,False
imagenette,accuracy_epoch_1,prm__momentum,18088,0.051019,0.054726,0.003411,0.646439,0.003411,0.082089,False,0.6881447419354838,False
imagenette,accuracy_epoch_1,nn_has_residual,17978,0.032012,1.0,-0.034029,5e-06,0.034029,1.0,False,8.884615384615385e-06,True
imagenette,accuracy_epoch_1,nn_has_attention,17978,0.020024,1.0,-0.005794,0.437274,0.005794,1.0,False,0.48562641346153845,False
imagenette,accuracy_epoch_5,prm__lr,13879,0.189801,0.004975,0.220894,0.0,0.220894,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,nn_total_params,13783,0.149851,0.004975,0.302244,0.0,0.302244,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,nn_flops,13783,0.128729,0.004975,0.116942,0.0,0.116942,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,nn_total_layers,13783,0.116227,0.004975,0.067099,0.0,0.067099,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,nn_dropout_count,13783,0.111782,0.004975,0.273944,0.0,0.273944,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,nn_max_depth,13783,0.078043,0.004975,-0.200078,0.0,0.200078,0.008512777777777779,True,0.0,True
