held_out_dataset,complexity,equation,loss,train_r2,test_r2
imagenette,5,(epoch_log - 1*0.72060513)*0.3932802,0.92494625,0.27665055363789315,0.32345433940986046
imagenette,7,(epoch_log - 19.59062/nn_total_layers)*0.37947053,0.884213,0.29384194663377206,0.3310695320265906
imagenette,8,0.37582976*epoch_log - 0.018719621*sqrt(prm__batch),0.8741322,0.2970786265318477,0.3470311048819893
imagenette,9,0.3680808*epoch_log - prm__batch**0.3680808/nn_total_layers,0.85655934,0.29720659494543467,0.33985950283410704
imagenette,11,epoch_log*0.3680808 - prm__batch**0.29129827/(nn_total_layers/1.759802),0.85335726,0.3108546403395437,0.29506273872122923
imagenette,12,0.39389524*epoch_log - sqrt(prm__batch**0.39540213/nn_total_layers) + 0.157804898940527,0.8494459,0.3115148026604302,0.3090490017277119
imagenette,13,0.39389524*epoch_log - sqrt(prm__batch**0.39540213/nn_total_layers) + 0.1877663441621,0.8492913,0.3141780113307495,0.32306106788683375
imagenette,14,0.365332*epoch_log - 0.01614111303728*sqrt(prm__batch) + 0.21298268 - 6.893775/nn_total_layers,0.8338898,0.3145124228282622,0.32702841393964366
imagenette,15,0.3408*epoch_log - 0.0122922008285255*log(prm__batch)**2 + 0.41160738 - 10.302589/nn_total_layers,0.8327983,0.3146734299528804,0.3236124298191416
imagenette,16,0.370183086781183*epoch_log - 0.0133520095247587*log(prm__batch)**2 + 0.41160738 - 10.302589/nn_total_layers,0.8320005,0.31487671640204984,0.32099826598246683
imagenette,17,0.38341048*epoch_log - 0.0131805538662339*log(prm__batch)**2 + 0.297466490398832 - 6.8297253/(-epoch_log + nn_total_layers),0.82878214,0.31502250906710094,0.32200472486662446
imagenette,19,0.38341048*epoch_log - 0.0131805538662339*log(nn_max_depth + prm__batch)**2 + 0.30194371643567 - 6.8297253/(-epoch_log + nn_total_layers),0.828378,,
imagenette,21,0.38341048*epoch_log - 0.0135001868107601*log(nn_max_depth + prm__batch)**2 + 0.328343280169563 - 6.8297253/(-0.916384580583149*epoch_log + 0.916384580583149*nn_total_layers),0.8281835,,
imagenette,23,0.37437966*epoch_log - 0.0128701001471121*log(-epoch_log + prm__batch + 2.9388852)**2 + 0.320609508621584 - 6.8297253/(-0.919117984969847*epoch_log + 0.919117984969847*nn_total_layers),0.8279378,,
imagenette,28,0.37437966*epoch_log - 0.0128701001471121*log(-epoch_log + prm__batch + 2.93888514)**2 + 0.320609508621584 - 6.8297253/(-0.839760699530553*epoch_log + 0.916384580583149*nn_total_layers),0.8277616,,
mnist,1,0.254130480000000,1.2770143,0.24726487015154652,0.03308078751452359
mnist,3,epoch_log*0.3278035,0.9612536,0.28933673938793103,0.08389183965115865
mnist,4,sqrt(epoch_log) - 0.58352447,0.9551758,0.31656724851883866,0.14437273709828813
mnist,5,epoch_log*0.44474053 - 0.3178175,0.90752727,0.3232033348771164,0.16608898143935513
mnist,7,epoch_log*0.42572287 - 7.7149653/nn_total_layers,0.87275344,0.3394663381662001,0.13355586461014024
mnist,8,0.42572287*epoch_log - 0.42572287*sqrt(prm__batch)/nn_total_layers,0.8642791,0.3444116894829251,0.1421582660600782
mnist,9,0.43937033*epoch_log - 0.43937033*log(prm__batch)/sqrt(nn_total_layers),0.8477221,0.3483188549515267,0.1413185013859124
mnist,11,epoch_log**0.6158169/prm__batch**0.109033465 - 9.174457/nn_total_layers,0.84351104,0.34883450340538835,0.14456771503696664
mnist,13,epoch_log**0.7017017/(nn_max_depth + prm__batch)**0.13221706 - 8.93299/nn_total_layers,0.83719563,0.3540146438522713,0.19543986291881865
